"subscore","MEMORY","LANGUAGE","EXECUTIVE","VISUOSPATIAL","ORIENTATION","ATTENTION"
"Q1SCORE",1,0,0,0,0,0
"Q4SCORE",1.155,0,0,0,0,0
"MOCADLREC",0.661,0,0,0,0,0
"RAVLT.IMMED",1.052,0,0,0,0,0
"AVTOT6",1.083,0,0,0,0,0
"AVTOTB",0.564,0,0,0,0,0
"AVDEL30MIN",0.885,0,0,0,0,0
"AVDELTOT",0.923,0,0,0,0,0
"LIMMTOTAL",1.066,0,0,0,0,0
"LDELTOTAL",1.182,0,0,0,0,0
"MMRECALL",0.831,0,0,0,0,0
"Q5SCORE",0,1,0,0,0,0
"MOCANAM",0,1.001,0,0,0,0
"BMNOCUE",0,1.785,0,0,0,0
"CATANIMSC",0,0.948,0,0,0,0
"Q13SCORE",0,0,1,0,0,0
"TRAASCOR",0,0,3.05,0,0,0
"TRABSCOR",0,0,3.081,0,0,0
"MOCASERIAL",0,0,1.609,0,0,0
"TRAILS",0,0,1.088,0,0,0
"CLOCKSCOR",0,0,0,1,0,0
"COPYSCOR",0,0,0,0.641,0,0
"MOCACLOCK",0,0,0,0.761,0,0
"Q3SCORE",0,0,0,0.31,0,0
"CUBE",0,0,0,0.362,0,0
"MMDRAW",0,0,0,0.183,0,0
"Q7SCORE",0,0,0,0,1,0
"MMORITIME",0,0,0,0,0.647,0
"MMORISPACE",0,0,0,0,0.266,0
"MOCAORI",0,0,0,0,1.043,0
"Q9SCORE",0,0,0,0,0,1
"Q10SCORE",0,0,0,0,0,1.332
"Q11SCORE",0,0,0,0,0,2.627
"Q12SCORE",0,0,0,0,0,1.499
"Q2SCORE",0,0,0,0,0,0.533
