"subscore","ATTENTION","ORIENTATION","VISUOSPATIAL","EXECUTIVE","LANGUAGE","MEMORY"
"Q2SCORE",0.0640366024755965,0,0,0,0,0
"Q12SCORE",0.156435991856857,0,0,0,0,0
"Q11SCORE",0.259999915180828,0,0,0,0,0
"Q10SCORE",0.155630233646639,0,0,0,0,0
"Q9SCORE",0.188403415703411,0,0,0,0,0
"MOCAORI",0,0.490587290827549,0,0,0,0
"MMORISPACE",0,0.117490296676048,0,0,0,0
"MMORITIME",0,0.20551140105615,0,0,0,0
"Q7SCORE",0,0.275602119104012,0,0,0,0
"MMDRAW",0,0,0.0539509114841047,0,0,0
"CUBE",0,0,0.179154532992891,0,0,0
"Q3SCORE",0,0,0.17441105927649,0,0,0
"MOCACLOCK",0,0,0.270027153360691,0,0,0
"COPYSCOR",0,0,0.355721442605571,0,0,0
"CLOCKSCOR",0,0,0.432754376463583,0,0,0
"TRAILS",0,0,0,0.0302027023345434,0,0
"MOCASERIAL",0,0,0,0.0757787106616233,0,0
"TRABSCOR",0,0,0,0.301880703333137,0,0
"TRAASCOR",0,0,0,0.125234899241337,0,0
"Q13SCORE",0,0,0,0.0692018026231809,0,0
"CATANIMSC",0,0,0,0,0.402338371666231,0
"BMNOCUE",0,0,0,0,0.324442068820606,0
"MOCANAM",0,0,0,0,0.0913728106762986,0
"Q5SCORE",0,0,0,0,0.140906438250207,0
"MMRECALL",0,0,0,0,0,0.0326240018824661
"LDELTOTAL",0,0,0,0,0,0.0935737967001892
"LIMMTOTAL",0,0,0,0,0,0.0777372648878165
"AVDELTOT",0,0,0,0,0,0.0549303827999858
"AVDEL30MIN",0,0,0,0,0,0.0888988303486611
"AVTOTB",0,0,0,0,0,0.0470353808055421
"AVTOT6",0,0,0,0,0,0.139053466099979
"RAVLT.IMMED",0,0,0,0,0,0.180075384042357
"MOCADLREC",0,0,0,0,0,0.0663299951060751
"Q4SCORE",0,0,0,0,0,0.13414799994126
"Q1SCORE",0,0,0,0,0,0.11326253954798
